Taxonomy,colon02,colon03,colon04,colon05,colon06,colon07
Terriglobus roseus,1265,599,1148,1509,574,923
Candidatus Solibacter usitatus,1901,829,1182,2161,762,1418
Luteitalea pratensis,1484,646,861,1608,633,967
Trueperella pyogenes,1415,750,1186,1975,713,1218
Bifidobacterium adolescentis,4899,2114,1590,1470,643,1118
Bifidobacterium animalis,1985,483,1123,992,449,952
Bifidobacterium choerinum,1686,711,965,2177,993,1265
Bifidobacterium gallinarum,807,432,1555,1948,512,1109
Bifidobacterium longum,1786,832,2652,2424,764,1781
Bifidobacterium pseudolongum,2034,519,1145,1533,1331,1067
Bifidobacterium scardovii,1254,567,1294,1654,566,885
Bifidobacterium thermophilum,1888,870,107225,947,1798,865
Corynebacterium xerosis,709,700,496,1149,29683,1202
Nocardia brasiliensis,894,507,996,1112,565,809
Clavibacter michiganensis,1197,604,1075,1686,712,922
Microbacterium foliorum,668,456,819,792,427,519
Streptomyces venezuelae,2368,1178,2190,3139,1319,1850
Nonomuraea sp. WYY166,957,433,920,1698,606,944
Atopobium parvulum,954,482,1391,1411,444,1228
Libanicoccus massiliensis,2794,1180,2467,3364,1198,2475
Olsenella sp. GAM18,3168,1392,3806,5554,1574,3694
Olsenella sp. oral taxon 807,1320,620,1728,2674,633,1699
Olsenella uli,2217,963,2050,3555,1138,2140
Olsenella umbonata,4135,1767,3977,5337,6021,3688
Parolsenella catena,2437,1099,1947,3360,1253,2414
Collinsella aerofaciens,20072,4291,6662,9388,56840,9379
Coriobacterium glomerans,1018,521,1108,2129,568,1485
Coriobacteriaceae bacterium 68-1-3,1728,952,1638,2770,1029,1925
Adlercreutzia equolifaciens,1893,932,1690,2590,1046,1842
Adlercreutzia sp. 8CFCBH1,1815,937,1973,2663,1109,2306
Arabia massiliensis,2662,1270,2326,3409,1504,2435
Denitrobacterium detoxificans,2578,1350,2317,3741,1645,2619
Eggerthella lenta,3253,1525,2689,4393,1834,3598
Eggerthella sp. YY7918,1900,954,1866,3042,1162,2440
Gordonibacter pamelaeae,2555,1229,1695,2870,1389,2014
Gordonibacter urolithinfaciens,1772,823,1990,2889,951,1990
Phoenicibacter congonensis,922,527,571,1213,815,719
Slackia heliotrinireducens,5165,2703,5420,8804,2648,6385
Eggerthellaceae bacterium zg-1050,1611,819,1331,2802,885,1707
Rubrobacter xylanophilus,947,503,988,2268,721,1067
Conexibacter woesei,1273,576,717,1574,633,748
Bacteroides caccae,5727,1764,5868,2067,753,3265
Bacteroides caecimuris,4329,1286,4114,1195,938,2001
Bacteroides cellulosilyticus,6627,2075,6348,2355,764,2846
Bacteroides coprosuis,3537,1181,4182,1070,424,1368
Bacteroides dorei,7594,2642,8691,3044,2032,2462
Bacteroides fragilis,22900,7393,23442,7358,9087,11888
Bacteroides helcogenes,8804,2588,8453,3717,1105,3651
Bacteroides heparinolyticus,8519,2843,10022,3894,1070,3568
Bacteroides intestinalis,5707,1697,6061,1636,775,2102
Bacteroides ovatus,6509,1857,6067,1729,2088,2613
Bacteroides salanitronis,12730,4334,13994,5021,1846,4486
Bacteroides sp. A1C1,3803,1173,4508,1394,567,2323
Bacteroides sp. CBA7301,6513,2034,6280,3194,972,3472
Bacteroides thetaiotaomicron,16429,4497,16554,5555,2177,8369
Bacteroides uniformis,6794,1727,6141,2170,983,4717
Bacteroides vulgatus,4143,1433,4618,1308,6358,1424
Bacteroides xylanisolvens,2231,702,2139,714,2776,674
Bacteroides zoogleoformans,8147,2603,8347,3175,1036,2636
Barnesiella viscericola,11875,3922,12346,5264,1606,5012
Proteiniphilum saccharofermentans,3606,1046,3734,1718,598,1194
Duncaniella dubosii,10211,3372,9089,4430,1464,4590
Muribaculum intestinale,10538,3789,11210,5261,1537,4217
Muribaculum sp. TLL-A4,12779,4032,11198,4773,1558,4251
Muribaculaceae bacterium DSM 108610,15953,6939,24851,9207,2817,7109
Butyricimonas faecalis,4110,1465,39599,2091,691,3633
Odoribacter splanchnicus,4126,1245,4614,2297,589,2078
Paludibacter propionicigenes,6864,1183,3875,1210,581,2707
Fermentimonas caenicola,2780,855,2222,862,387,1245
Petrimonas mucosa,5598,1833,5385,1991,776,2101
Porphyromonas asaccharolytica,5864,1958,5181,2435,754,2041
Porphyromonas cangingivalis,6130,1813,5930,2392,836,2451
Porphyromonas gingivalis,6331,1967,6794,3076,827,3336
Alloprevotella sp. E39,18991,5041,17689,7650,1922,6436
Paraprevotella xylaniphila,12736,3435,11591,4289,1644,3913
Prevotella dentalis,29880,7325,20242,7915,3155,6915
Prevotella denticola,27649,6770,17981,6365,2498,6053
Prevotella enoeca,10212,2593,7238,1847,887,1801
Prevotella fusca,19038,4594,11109,2882,1650,3037
Prevotella intermedia,37150,8547,22842,5884,2809,8358
Prevotella jejuni,10661,2693,6176,1679,943,1882
Prevotella melaninogenica,31786,8218,15694,4545,2422,5217
Prevotella oris,22867,5296,11780,3069,1668,3180
Prevotella ruminicola,78066,19365,71378,11877,6080,11654
Prevotella scopos,11311,2755,5931,1366,881,1917
Prevotella sp. oral taxon 299,9180,2348,5337,1380,792,1831
Alistipes communis,7099,2858,10710,5438,1591,4575
Alistipes dispar,5563,2315,8605,4976,1307,3115
Alistipes finegoldii,5539,2073,8479,4624,1184,3279
Alistipes megaguti,8235,2910,11169,5953,1558,3921
Alistipes onderdonkii,6404,2628,11792,5460,1476,4707
Alistipes shahii,6327,2390,8980,5386,1212,3980
Alistipes sp. dk3624,4362,1697,7253,2936,858,2269
Mucinivorans hirudinis,3454,1203,4625,1547,518,1172
Parabacteroides distasonis,5548,1570,5043,2044,941,1848
Tannerella forsythia,5484,1994,7486,2391,912,3132
Tannerella sp. oral taxon HOT-286,8563,2794,9818,5012,1336,3455
Bacteroidales bacterium 38-H,2022,1189,3362,1552,411,3450
Bacteroidales bacterium CF,7958,3869,16850,6117,1344,6450
Chitinophaga pinensis,2153,904,3272,1797,420,1567
Hymenobacter sp. APR13,1081,557,2161,1576,412,649
Hymenobacter sp. PAMC 26554,1549,594,2611,1298,415,1292
Pontibacter sp. BT326,2358,931,2893,2294,488,1249
Haliscomenobacter hydrossis,1845,655,1596,1246,386,1734
Rhodothermus marinus,1728,822,2087,2775,695,1314
Salinibacter ruber,1164,586,1236,1432,495,817
Dehalococcoides mccartyi,1230,714,1287,2283,585,1518
Prochlorococcus marinus,757,658,1065,882,495,1262
Fibrobacter succinogenes,54341,8277,13154,7614,6488,14737
Alicyclobacillus acidocaldarius,1218,614,1668,2265,574,1344
Tumebacillus avium,935,555,1353,1721,498,1336
Bacillus cereus,1358,1039,2087,1175,739,2168
Bacillus circulans,931,532,1005,852,529,1141
Bacillus coagulans,971,1677,1455,1541,1217,1171
Bacillus marisflavi,934,637,1455,1195,430,933
Bacillus megaterium,930,733,1450,1002,545,1190
Bacillus thuringiensis,982,690,946,797,473,1087
Listeria monocytogenes,887,678,1213,811,588,1257
Cohnella sp. MFER-1,748,508,990,1373,503,1165
Paenibacillus albus,973,467,739,1104,423,612
Paenibacillus cellulositrophicus,1075,539,1260,1869,448,1364
Paenibacillus durus,1093,727,1744,2437,484,1373
Paenibacillus ihbetae,750,453,1178,1926,402,820
Paenibacillus mucilaginosus,1827,984,2252,3652,870,2013
Paenibacillus polymyxa,862,602,1189,1581,424,1176
Paenibacillus sp. 12200R-189,1447,777,1445,2381,637,1422
Paenibacillus sp. B01,1299,705,1246,2285,614,1330
Paenibacillus sp. RUD330,1013,604,1278,2077,524,1240
Paenibacillus sp. UniB2,1092,626,1402,1871,554,1322
Paenibacillus stellifer,898,585,1673,2126,504,1716
Paenibacillus thiaminolyticus,802,464,1125,1671,404,1261
Saccharibacillus brassicae,1170,687,1552,2442,586,1526
Thermobacillus composti,1709,909,1594,3325,819,2253
Staphylococcus aureus,1042,790,1003,1123,609,1379
Jeotgalibaca porci,660,777,1992,1999,493,1951
Enterococcus cecorum,877,1183,1245,805,693,1083
Enterococcus faecalis,909,2083,780,958,1917,1127
Enterococcus faecium,2399,1706,1989,1142,1904,2003
Lactobacillus acetotolerans,5449,1261,2919,4403,6297,12783
Lactobacillus acidophilus,27130,4409,11591,18192,29709,66022
Lactobacillus agilis,4492,4912,4313,1080,765,1077
Lactobacillus amylolyticus,7250,1530,3359,5371,8034,17746
Lactobacillus amylovorus,73919,44985,57173,159273,117499,272267
Lactobacillus apis,2101,511,963,1358,1750,4073
Lactobacillus crispatus,28348,39119,35655,31519,29988,161336
Lactobacillus delbrueckii,5112,13475,17933,5079,3559,3337
Lactobacillus dextrinicus,914,442,462,621,728,1355
Lactobacillus fermentum,6161,2909,4222,4877,599,1740
Lactobacillus gallinarum,10796,1595,4677,7070,12461,26432
Lactobacillus gasseri,2385,708,1168,1626,2439,5404
Lactobacillus helveticus,60578,8941,25364,39449,67364,145698
Lactobacillus iners,1745,721,1269,1266,1474,3242
Lactobacillus jensenii,5046,1308,2354,3214,4835,10135
Lactobacillus johnsonii,10179,7799,10829,8944,10193,29443
Lactobacillus kefiranofaciens,18919,2977,8068,12333,20548,45002
Lactobacillus plantarum,2876,759,805,853,784,966
Lactobacillus reuteri,176751,10292,19376,53445,15133,36803
Lactobacillus ruminis,1272,929,1238,813,389,1046
Lactobacillus sakei,1228,819,486,556,480,971
Lactobacillus salivarius,11452,7899,5032,2758,2213,5185
Lactobacillus sp. C25,3678,2753,3521,3700,4157,14869
Lactobacillus vaginalis,18036,3652,9907,17452,632,8268
Lactococcus lactis,1569,3180,1466,1471,3120,1856
Lactococcus raffinolactis,938,1999,504,762,1575,868
Streptococcus agalactiae,842,3029,507,515,2679,1196
Streptococcus canis,1605,1789,1423,1126,1429,1293
Streptococcus cristatus,480,746,592,449,464,468
Streptococcus dysgalactiae,1336,6351,774,1017,5146,1373
Streptococcus equi,854,2131,1055,1079,1719,1140
Streptococcus equinus,253555,2223515,17724,191647,1778064,307181
Streptococcus gallolyticus,4191,34795,1181,2383,27342,4442
Streptococcus gordonii,822,932,777,632,799,732
Streptococcus infantarius,10741,45867,1521,3590,18159,2375
Streptococcus oralis,514,487,513,458,393,483
Streptococcus parauberis,606,1400,582,461,1146,522
Streptococcus pneumoniae,756,1594,705,716,1366,747
Streptococcus porcinus,584,889,714,439,745,519
Streptococcus pyogenes,902,2321,684,682,2089,1189
Streptococcus ratti,711,1946,655,577,1073,546
Streptococcus salivarius,754,2795,666,612,1857,748
Streptococcus sanguinis,992,892,986,1041,541,1115
Streptococcus sobrinus,465,1109,586,438,730,664
Streptococcus sp. CNU 77-61,1168,9099,783,727,6994,1119
Streptococcus sp. CNU G2,1651,12317,796,838,8190,1193
Streptococcus sp. CNU G3,1193,10052,919,731,7068,1081
Streptococcus sp. Z15,469,763,735,519,641,591
Streptococcus suis,8792,6681,7377,7598,6183,9018
Streptococcus thermophilus,1735,8792,906,3526,5694,1793
Christensenella minuta,3847,2182,4746,9033,1853,5720
Christensenella sp. Marseille-P3954,6732,4750,10384,22603,3996,12624
Alkaliphilus metalliredigens,725,487,1077,604,537,766
Alkaliphilus oremlandii,940,581,1157,1628,759,1788
Caloramator sp. E03,1411,1011,1883,1477,1051,1832
Caloranaerobacter azorensis,757,637,1044,1092,549,1533
Clostridium aceticum,638,559,1197,839,508,914
Clostridium acetobutylicum,1202,1084,1607,2124,1204,2332
Clostridium argentinense,1417,1043,1703,1592,1384,2138
Clostridium baratii,7233,6473,5362,9340,12607,8262
Clostridium beijerinckii,1663,2955,2077,1664,6260,2315
Clostridium bornimense,1570,1869,2372,2940,3034,2560
Clostridium botulinum,5469,7519,6900,7032,16040,9111
Clostridium butyricum,4410,14846,5592,5305,42221,5211
Clostridium carboxidivorans,666,713,1163,717,1134,1096
Clostridium cellulovorans,1660,1587,3747,2303,1615,2750
Clostridium chauvoei,1299,1663,1283,1858,3184,2139
Clostridium cochlearium,838,717,867,891,1145,1658
Clostridium estertheticum,1260,1028,1648,1616,1243,2022
Clostridium formicaceticum,842,657,1264,1294,564,1278
Clostridium isatidis,1271,1488,1684,1656,2223,2193
Clostridium kluyveri,1493,1112,2209,2157,1109,2295
Clostridium novyi,1889,1732,1872,1831,2022,2538
Clostridium pasteurianum,2351,1852,3047,3019,2073,3697
Clostridium perfringens,6063,7307,5694,6618,12202,9351
Clostridium saccharobutylicum,1649,5311,1977,2353,14423,2410
Clostridium saccharoperbutylacetonicum,2102,4230,2772,2518,10386,3049
Clostridium septicum,1233,1692,1289,1479,3163,2096
Clostridium sp. BNL1100,1586,1070,2426,2017,826,2087
Clostridium sp. CT4,1569,1562,2091,2199,2180,2411
Clostridium sp. DL-VIII,2790,3400,2239,2003,7956,2604
Clostridium sp. JN-1,876,774,1106,965,838,1344
Clostridium sp. JN500901,741,686,1091,968,867,1659
Clostridium sp. JN-9,1078,936,1968,1544,1083,1885
Clostridium sp. SY8519,4948,3709,7599,7787,2952,7078
Clostridium sp. SYSU GA15002T,1676,1020,2796,3133,1113,2480
Clostridium taeniosporum,1161,2443,1305,1734,6158,2018
Clostridium tetani,1059,876,1317,973,1084,1832
Clostridium tyrobutyricum,1053,813,1346,1436,1086,1604
Crassaminicella sp. SY095,1595,997,1673,1608,856,2640
Geosporobacter ferrireducens,1054,689,1843,1715,480,1657
Hathewaya histolytica,801,614,1044,895,495,1330
Hungatella hathewayi,4876,3068,8816,7516,1878,6594
Clostridiaceae bacterium 14S0207,964,836,1078,1124,880,1841
Aminipila butyrica,1114,943,2424,2553,637,2283
Aminipila sp. CBA3637,1439,1469,2411,2763,1269,2405
Aminipila sp. JN-18,2360,1813,5007,3853,1316,3684
Mogibacterium diversum,1431,1016,1537,2505,1285,1478
Mogibacterium pumilum,1466,1354,1821,3574,1765,1758
[Eubacterium] minutum,1439,976,1827,2482,812,1970
[Eubacterium] sulci,2582,2163,4132,4283,1801,3710
Acetobacterium sp. KB-1,663,520,1507,1243,387,1175
Eubacterium callanderi,909,552,1568,2050,457,1593
[Eubacterium] cellulosolvens,5596,5297,11299,10646,3006,9783
Eubacterium limosum,2856,1222,2869,3084,1055,3126
Eubacterium maltosivorans,1861,944,1537,2019,785,2542
Heliobacterium modesticaldum,1220,743,2072,3467,523,2185
Fastidiosipila sanguinis,1247,732,1308,1778,623,2277
Hungateiclostridium clariflavum,1396,957,2325,2142,702,2317
Hungateiclostridium saccincola,830,599,1543,1469,396,1461
Hungateiclostridium thermocellum,1450,845,2147,2891,793,2578
Mageeibacillus indolicus,2110,986,1705,5696,770,4634
Pseudoclostridium thermosuccinogenes,2046,1382,2920,4729,1031,3893
Ruminiclostridium cellulolyticum,1541,710,1782,1965,555,2097
Thermoclostridium stercorarium,1593,906,2138,2786,878,2219
Anaerobutyricum hallii,28115,12371,17933,10195,15936,19362
Anaerocolumna sp. CBA3638,3382,2618,9739,5136,1754,4950
Anaerostipes hadrus,62914,19259,14514,6458,14146,26123
Anaerostipes rhamnosivorans,2814,2341,5819,4186,1267,3686
Anaerotignum propionicum,2177,1608,8434,4129,1021,3482
Blautia producta,9388,7270,12929,8598,4214,9049
Blautia sp. N6H1-15,6057,5098,10442,6342,2652,6559
Blautia sp. SC05B48,39293,46048,18048,13165,27544,16020
Butyrivibrio fibrisolvens,9447,6657,25055,14766,4176,16893
Butyrivibrio hungatei,7740,5361,22888,13721,3983,14123
Butyrivibrio proteoclasticus,7733,5669,23377,13226,3936,14895
Cellulosilyticum sp. WCF-2,1228,955,3650,1400,798,2053
Enterocloster bolteae,6728,4529,10189,10193,2718,10511
Enterocloster clostridioformis,9211,4495,6794,7131,3317,8614
Herbinix luporum,2546,2057,6550,3648,1259,4295
Lachnoanaerobaculum umeaense,3820,3038,10483,5370,2007,5731
[Clostridium] hylemonae,3974,2842,6418,6144,2055,5750
[Clostridium] scindens,11076,7543,10240,7710,4712,8837
Lachnoclostridium phocaeense,7342,4867,11116,9701,3242,9074
Lachnoclostridium phytofermentans,3362,2952,13954,5012,1943,4725
Lachnoclostridium sp. YL32,6257,3381,3360,3572,2151,8403
Lachnospira eligens,52418,26061,31072,11797,6967,12327
Lacrimispora saccharolytica,3316,2378,5994,4144,1437,4921
Lacrimispora sphenoides,3269,2476,7263,5539,1543,4919
[Ruminococcus] gnavus,9342,6846,10398,5615,4209,7129
Pseudobutyrivibrio xylanivorans,9361,7728,32376,17216,5410,14490
Roseburia hominis,11986,6701,20530,10188,3981,10888
Roseburia intestinalis,17276,10221,27822,11522,6016,15792
Lachnospiraceae bacterium,4908,3843,10636,4980,2603,5865
Lachnospiraceae bacterium Choco86,9800,7380,11177,6988,4789,8652
Lachnospiraceae bacterium GAM79,26956,12813,47500,21618,10382,25040
Lachnospiraceae bacterium KM106-2,7265,5392,13939,5348,2933,5754
Lachnospiraceae bacterium oral taxon 500,2566,1937,3779,5047,1136,3723
Dysosmobacter welbionis,5750,1959,6600,5343,1162,7164
Oscillibacter sp. PEA192,4796,1283,4667,2661,901,4607
Oscillibacter valericigenes,24086,13429,49848,38769,8829,49468
Dehalobacterium formicoaceticum,940,591,1371,1651,395,1536
Desulfitobacterium hafniense,1095,528,1694,2212,418,2180
Acetoanaerobium sticklandii,909,507,1158,1264,520,1950
Clostridioides difficile,22314,11017,10003,10438,8427,17268
Filifactor alocis,1017,1543,1555,1200,1297,1185
Paeniclostridium sordellii,726,734,1053,1039,1077,1352
Paraclostridium bifermentans,750,836,911,770,1137,1438
Peptacetobacter hiranonis,1307,1091,1864,1313,1146,1666
Peptoclostridium acidaminophilum,1445,854,2122,2435,729,1964
Romboutsia hominis,879,836,843,916,1527,1300
Romboutsia sp. CE17,1275,1092,1357,1259,2089,1990
Peptostreptococcaceae bacterium oral taxon 929,1052,546,1314,2113,594,1477
Caproiciproducens sp. NJN-50,6424,3183,7976,9927,2571,9157
Ethanoligenens harbinense,5593,3240,8244,10571,2305,8740
Faecalibacterium prausnitzii,104787,40980,81030,82751,28248,66136
Flavonifractor plautii,21138,11213,38419,35816,7009,36166
Ruminococcus albus,9323,3987,22389,14075,2794,20936
Ruminococcus bicirculans,9427,3436,15579,8045,3247,8333
Ruminococcus champanellensis,12674,6002,25464,21507,3983,24153
Ruminococcus sp. JE7A12,28265,15418,11270,16344,12080,9141
Ruthenibacterium lactatiformans,15775,7127,19259,26258,5296,21274
[Clostridium] cellulosi,3608,2135,5025,6209,1447,5559
Symbiobacterium thermophilum,1510,768,2329,3050,720,1831
Petrocella atlantisensis,920,689,2048,1636,498,1838
Flintibacter sp. KGMB00164,19335,12978,45003,41898,7997,42405
Intestinimonas butyriciproducens,3119,1276,4042,3997,917,4667
Massilistercora timonensis,4795,3244,8050,8262,2319,7738
Clostridiales bacterium CCNA10,20177,11127,39131,37620,7320,35025
Thermoanaerobacterium sp. RBIITD,612,456,1053,945,691,1333
Thermoanaerobacterium thermosaccharolyticum,676,508,1086,1184,388,1093
[Clostridium] innocuum,1735,760,2050,1241,1234,1376
Erysipelothrix sp. HDW6C,610,469,483,423,420,515
Faecalibaculum rodentium,1823,1260,2259,4146,1135,2160
Faecalitalea cylindroides,5404,4043,2654,3181,4158,4116
Intestinibaculum porci,2368,2816,3560,2366,2274,3521
Longibaculum sp. KGMB06250,14049,1308,1534,1136,3577,5678
Turicibacter sp. H121,830,585,898,659,539,885
Erysipelotrichaceae bacterium GAM147,18621,1265,1065,795,3506,6552
Acidaminococcus fermentans,1783,1062,7998,4364,870,2924
Acidaminococcus intestini,1118,751,2544,2546,467,2198
Megamonas funiformis,1434,836,1352,901,565,1130
Megamonas hypermegale,791,553,1287,854,430,934
Selenomonas ruminantium,3679,2185,6857,6388,1205,4865
Selenomonas sp. oral taxon 126,2292,1058,2746,3375,936,2309
Selenomonas sp. oral taxon 478,974,435,1160,1177,413,689
Selenomonas sp. oral taxon 920,1223,647,1697,1987,505,1336
Selenomonas sputigena,3583,1624,3924,4986,1670,3276
Megasphaera elsdenii,2066,1227,35641,3884,807,2848
Megasphaera stantonii,2307,1460,3172,3884,1029,3446
Veillonella parvula,798,652,7557,665,747,1557
Gottschalkia acidurici,788,583,971,665,418,1107
Finegoldia magna,1243,862,1443,1346,679,2099
Murdochiella vaginalis,994,691,1692,1909,460,1697
Parvimonas micra,1476,787,1329,1259,482,2002
Gudongella oleilytica,1279,687,1339,2831,623,1905
Tissierellia sp. JN-28,1112,662,1397,1518,590,1142
Ndongobacter massiliensis,872,688,1368,2881,429,1716
Fusobacterium nucleatum,1217,992,2134,1517,1107,2608
Fusobacterium ulcerans,549,482,1001,883,543,1061
Fusobacterium varium,764,504,965,883,878,1158
Gemmatirosa kalamazoonesis,1988,856,1190,1988,841,1294
Kiritimatiella glycovorans,2556,993,1238,2384,1240,1507
Kiritimatiellaeota bacterium S-5007,1659,692,1468,1902,658,1445
Victivallales bacterium CCUG 44730,8874,3541,6858,7475,3429,5536
Candidatus Kuenenia stuttgartiensis,1190,550,919,1323,443,853
Limnoglobus roseus,1626,633,801,1531,693,864
Aquisphaera giovannonii,1837,788,1210,1921,865,1492
Paludisphaera borealis,1126,542,697,1254,509,985
Planctomyces sp. SH-PL14,1530,646,920,1551,607,1055
Planctomyces sp. SH-PL62,1008,503,838,1405,478,904
Planctomycetes bacterium ElP,1156,458,694,1418,560,756
Planctomycetes bacterium ETA_A1,1922,728,793,1628,929,1415
Planctomycetes bacterium MalM25,947,443,646,1485,485,764
Planctomycetes bacterium Pla175,1191,551,764,1519,559,1019
Planctomycetes bacterium Poly30,1289,638,877,1488,645,977
Bradyrhizobium erythrophlei,1047,542,903,1649,570,1102
Rhodopseudomonas palustris,2479,1137,2205,3487,1198,2090
Devosia sp. A16,856,470,525,1154,524,559
Methylocystis bryophila,1393,533,530,1086,487,604
Agrobacterium tumefaciens,2486,1275,2553,3401,994,2022
Ensifer adhaerens,1167,517,1149,1578,514,897
Rhizobium leguminosarum,2378,1156,2453,3835,1127,2683
Sinorhizobium fredii,1293,683,1443,1560,611,1155
Pannonibacter phragmitetus,713,459,1156,1166,435,869
Rhodobacter sphaeroides,1347,621,1417,2310,596,1344
Azospirillum brasilense,1781,788,1404,2448,941,1615
Azospirillum lipoferum,1008,462,623,1131,492,685
Achromobacter xylosoxidans,1251,588,1042,2191,670,1203
Burkholderia gladioli,914,456,763,1301,412,850
Cupriavidus pauculus,834,484,831,1228,442,733
Cupriavidus taiwanensis,1707,745,1479,2540,738,1513
Ralstonia solanacearum,1039,487,1132,1096,441,976
Variovorax paradoxus,1856,776,1225,2831,779,1633
Variovorax sp. HW608,1063,476,588,1216,511,776
Sutterella faecalis,1684,779,1204,1826,701,1156
Nitrosomonadales bacterium 0125_3,1130,437,472,1122,537,602
Desulfosarcina ovata,1123,531,1282,1630,529,1109
Desulfobulbus oralis,1035,451,1137,1728,484,1198
Desulfovibrio carbinoliphilus,950,464,1130,1019,406,977
Desulfovibrio desulfuricans,1817,858,3533,3161,754,1944
Desulfovibrio gigas,795,446,1313,2345,466,1106
Desulfovibrio marinus,1218,565,1354,1825,521,1271
Desulfovibrio piger,1546,787,4555,2597,787,1925
Desulfovibrio sp. IOR2,1014,507,1457,2083,481,1379
Desulfovibrio vulgaris,1564,784,3294,2625,738,1918
Desulfuromonas sp. DDH964,1218,612,1199,2671,476,1135
Geobacter sp. FeAm09,1033,510,1322,1990,611,1079
Geobacter sp. M18,1142,476,1357,1564,435,1076
Geobacter sulfurreducens,1075,528,925,1941,488,1088
Anaeromyxobacter dehalogenans,1266,555,991,1546,609,798
Anaeromyxobacter sp. Fw109-5,1866,750,1075,1878,833,1151
Archangium gephyra,1196,606,1208,2241,667,1257
Haliangium ochraceum,1471,645,1409,2347,691,1661
Labilithrix luteola,1559,610,1188,1795,685,1059
Corallococcus coralloides,1505,690,1750,2223,829,1261
Myxococcus xanthus,941,452,1039,1632,546,851
Sorangium cellulosum,6027,2691,3904,7102,2991,4647
Sandaracinus amylolyticus,1695,766,1449,2102,855,1321
Minicystis rosea,2124,914,1424,2336,896,1294
Aeromonas hydrophila,927,457,1373,1549,409,1064
Candidatus Thiodictyon syntrophicum,1307,557,1075,1405,448,905
Escherichia coli,1112,1257,4974,1238,1312,1446
Salmonella enterica,1557,1075,1627,1789,663,1250
Buchnera aphidicola,2809,1980,2682,2727,1210,3790
Serratia marcescens,874,449,1344,1344,391,823
Pseudomonas aeruginosa,1236,581,1296,2102,647,1294
Pseudomonas chlororaphis,984,485,1038,1305,475,1021
Pseudomonas fluorescens,2170,1004,2325,2389,1001,1767
Pseudomonas mendocina,1024,458,939,1531,481,799
Pseudomonas putida,2198,1007,2659,3053,833,2091
Pseudomonas stutzeri,3187,1441,3128,3897,1483,2871
Stenotrophomonas maltophilia,2295,929,2395,3101,903,1914
Turneriella parva,1124,469,554,920,425,566
Spirochaeta thermophila,1064,517,862,1493,527,872
Treponema brennaborense,4467,1354,5683,3075,1076,3370
Treponema succinifaciens,8057,2375,9340,5097,2186,5820
Cloacibacillus porcorum,3084,1266,3336,3666,1252,3369
Acholeplasma palmae,762,610,572,891,491,1361
Ereboglobus luteus,2132,961,1546,2885,944,1476
Lacunisphaera limnophila,1720,776,1687,4228,1065,1388
Nibricoccus aquaticus,1218,520,1031,1858,528,999
Opitutus sp. GAS368,1756,759,1446,2871,948,1422
Opitutus terrae,1914,866,1593,2775,896,1622
Opitutaceae bacterium TAV5,2934,1292,2214,4272,1510,2199
Akkermansia glycaniphila,17333,5465,27078,43966,13158,18534
Akkermansia muciniphila,13394,5163,22129,37978,11388,16059
Luteolibacter sp. G-1-1-1,4781,1763,5541,11023,3186,4858
Roseimicrobium sp. ORNL1,4165,1638,3821,6292,2341,2978
Verrucomicrobium sp. GAS474,2115,995,1547,3001,1112,1745
Verrucomicrobium spinosum,2445,956,3416,4956,1496,2432
Verrucomicrobia bacterium IMCC26134,979,466,1112,1872,408,920
